"row_num","treat","rep","inv_sp","res_sp","res_div","inv_t0","res_t0","inv_count","res_count","inv_m","res_m","rel_fit","res_sp2"
75,"13","c","v","o",1,26666.66667,2666666.667,1.92e+08,1.48e+08,8.88183630487915,4.01638302062739,2.21140171623665,"Od"
76,"13","d","v","o",1,26666.66667,2666666.667,1.72e+08,77333333.3333333,8.77183540966482,3.36729582986147,2.60500884177607,"Od"
77,"13","e","v","o",1,26666.66667,2666666.667,170666666.666667,86666666.6666667,8.76405326922276,3.48124008921069,2.51750900387047,"Od"
78,"13","f","v","o",1,26666.66667,2666666.667,1.92e+08,133333333.333333,8.88183630487915,3.91202300530315,2.27039470188159,"Od"
79,"14","a","s","o",1,26666.66667,2666666.667,5.12e+08,153333333.333333,9.86266555789087,4.05178494767831,2.43415326461051,"Od"
80,"14","b","s","o",1,26666.66667,2666666.667,546666666.666667,253333333.333333,9.9281801650015,4.55387689147554,2.18015998271411,"Od"
81,"14","c","s","o",1,26666.66667,2666666.667,4.96e+08,2.64e+08,9.83091685957629,4.59511985000959,2.13942556026167,"Od"
82,"14","d","s","o",1,26666.66667,2666666.667,645333333.333333,142666666.666667,10.0941079120198,3.97968165377696,2.53641089669568,"Od"
83,"14","e","s","o",1,26666.66667,2666666.667,4e+08,221333333.333333,9.61580547995935,4.4188406076716,2.1760924038005,"Od"
84,"14","f","s","o",1,26666.66667,2666666.667,453333333.333333,341333333.333333,9.74096862291335,4.85203026379462,2.00760673229916,"Od"
85,"15","a","p","a",1,26666.66667,2666666.667,8.4e+07,142666666.666667,8.05515773169468,3.97968165377696,2.02407087613398,"Aa"
86,"15","b","p","a",1,26666.66667,2666666.667,6.4e+07,106666666.666667,7.78322401621104,3.68887945398894,2.10991552130952,"Aa"
87,"15","c","p","a",1,26666.66667,2666666.667,7.6e+07,1.08e+08,7.9550742731377,3.70130197398749,2.14926378043333,"Aa"
88,"15","d","p","a",1,26666.66667,2666666.667,70666666.6666667,1.04e+08,7.88231491885527,3.66356164600465,2.15154422949357,"Aa"
89,"15","e","p","a",1,26666.66667,2666666.667,106666666.666667,133333333.333333,8.29404963997703,3.91202300530315,2.12014337051024,"Aa"
90,"15","f","p","a",1,26666.66667,2666666.667,110666666.666667,129333333.333333,8.33086361309974,3.88156379781844,2.14626476519128,"Aa"
91,"16","a","v","a",1,26666.66667,2666666.667,1.36e+08,381333333.333333,8.53699581858742,4.96284463013491,1.72018196313257,"Aa"
92,"16","b","v","a",1,26666.66667,2666666.667,86666666.6666667,178666666.666667,8.08641027519878,4.20469261926597,1.92318702160218,"Aa"
93,"16","c","v","a",1,26666.66667,2666666.667,8.4e+07,358666666.666667,8.05515773169468,4.90156419891689,1.6433851327449,"Aa"
94,"16","d","v","a",1,26666.66667,2666666.667,4e+07,237333333.333333,7.3132203869653,4.48863636960714,1.62927441315666,"Aa"
95,"16","e","v","a",1,26666.66667,2666666.667,41333333.3333333,338666666.666667,7.34601020978829,4.84418708633359,1.51645881524948,"Aa"
96,"16","f","v","a",1,26666.66667,2666666.667,6.8e+07,354666666.666667,7.84384863802747,4.89034912809675,1.6039445104158,"Aa"
97,"17","a","s","a",1,26666.66667,2666666.667,4.24e+08,77333333.3333333,9.67407438808332,3.36729582986147,2.87295054455649,"Aa"
98,"17","b","s","a",1,26666.66667,2666666.667,481333333.333333,1.28e+08,9.80090096363603,3.87120101078289,2.531746849708,"Aa"
99,"17","c","s","a",1,26666.66667,2666666.667,669333333.333333,1.28e+08,10.1306231249949,3.87120101078289,2.61691994209986,"Aa"
100,"17","d","s","a",1,26666.66667,2666666.667,602666666.666667,106666666.666667,10.0257051851354,3.68887945398894,2.71781859781137,"Aa"
101,"17","e","s","a",1,26666.66667,2666666.667,437333333.333333,122666666.666667,9.70503661368729,3.8286413963641,2.53485129814032,"Aa"
