ID,Rep,Sp,res.sp,inv.other,res.div,inv.div,count,T0_inv,count_other,T0_other,dil,dil_fact
t8,a,PC,SR.AA.OD,VG,3,2,0,13333.33333,574,2713333.333,10000,33.33333333
t8,b,PC,SR.AA.OD,VG,3,2,4,13333.33333,618,2713333.333,10000,33.33333333
t8,c,PC,SR.AA.OD,VG,3,2,94,13333.33333,526,2713333.333,10000,33.33333333
t8,d,PC,SR.AA.OD,VG,3,2,12,13333.33333,580,2713333.333,10000,33.33333333
t8,e,PC,SR.AA.OD,VG,3,2,16,13333.33333,564,2713333.333,10000,33.33333333
t8,f,PC,SR.AA.OD,VG,3,2,12,13333.33333,394,2713333.333,10000,33.33333333
t8,a,VG,SR.AA.OD,PC,3,2,12,13333.33333,562,2713333.333,10000,33.33333333
t8,b,VG,SR.AA.OD,PC,3,2,18,13333.33333,604,2713333.333,10000,33.33333333
t8,c,VG,SR.AA.OD,PC,3,2,34,13333.33333,588,2713333.333,10000,33.33333333
t8,d,VG,SR.AA.OD,PC,3,2,156,13333.33333,436,2713333.333,10000,33.33333333
t8,e,VG,SR.AA.OD,PC,3,2,96,13333.33333,484,2713333.333,10000,33.33333333
t8,f,VG,SR.AA.OD,PC,3,2,96,13333.33333,310,2713333.333,10000,33.33333333
t9,a,PC,SR.AA.VG,OD,3,2,8,13333.33333,598,2713333.333,10000,33.33333333
t9,b,PC,SR.AA.VG,OD,3,2,7,13333.33333,414,2713333.333,10000,33.33333333
t9,c,PC,SR.AA.VG,OD,3,2,26,13333.33333,496,2713333.333,10000,33.33333333
t9,d,PC,SR.AA.VG,OD,3,2,12,13333.33333,496,2713333.333,10000,33.33333333
t9,e,PC,SR.AA.VG,OD,3,2,6,13333.33333,512,2713333.333,10000,33.33333333
t9,f,PC,SR.AA.VG,OD,3,2,8,13333.33333,608,2713333.333,10000,33.33333333
t9,a,OD,SR.AA.VG,PC,3,2,72,13333.33333,534,2713333.333,10000,33.33333333
t9,b,OD,SR.AA.VG,PC,3,2,88,13333.33333,333,2713333.333,10000,33.33333333
t9,c,OD,SR.AA.VG,PC,3,2,60,13333.33333,462,2713333.333,10000,33.33333333
t9,d,OD,SR.AA.VG,PC,3,2,52,13333.33333,456,2713333.333,10000,33.33333333
t9,e,OD,SR.AA.VG,PC,3,2,64,13333.33333,454,2713333.333,10000,33.33333333
t9,f,OD,SR.AA.VG,PC,3,2,60,13333.33333,556,2713333.333,10000,33.33333333
t10,a,SR,PC.VG.OD,AA,3,2,144,13333.33333,318,2713333.333,10000,33.33333333
t10,b,SR,PC.VG.OD,AA,3,2,404,13333.33333,351,2713333.333,10000,33.33333333
t10,c,SR,PC.VG.OD,AA,3,2,116,13333.33333,348,2713333.333,10000,33.33333333
t10,d,SR,PC.VG.OD,AA,3,2,178,13333.33333,313,2713333.333,10000,33.33333333
t10,e,SR,PC.VG.OD,AA,3,2,88,13333.33333,185,2713333.333,10000,33.33333333
t10,f,SR,PC.VG.OD,AA,3,2,36,13333.33333,276,2713333.333,10000,33.33333333
t10,a,AA,PC.VG.OD,SR,3,2,26,13333.33333,436,2713333.333,10000,33.33333333
t10,b,AA,PC.VG.OD,SR,3,2,54,13333.33333,701,2713333.333,10000,33.33333333
t10,c,AA,PC.VG.OD,SR,3,2,28,13333.33333,438,2713333.333,10000,33.33333333
t10,d,AA,PC.VG.OD,SR,3,2,24,13333.33333,467,2713333.333,10000,33.33333333
t10,e,AA,PC.VG.OD,SR,3,2,8,13333.33333,265,2713333.333,10000,33.33333333
t10,f,AA,PC.VG.OD,SR,3,2,22,13333.33333,290,2713333.333,10000,33.33333333
t11,a,SR,PC.AA.OD,VG,3,2,58,13333.33333,327,2713333.333,10000,33.33333333
t11,b,SR,PC.AA.OD,VG,3,2,13,13333.33333,381,2713333.333,10000,33.33333333
t11,c,SR,PC.AA.OD,VG,3,2,392,13333.33333,249,2713333.333,10000,33.33333333
t11,d,SR,PC.AA.OD,VG,3,2,8,13333.33333,340,2713333.333,10000,33.33333333
t11,e,SR,PC.AA.OD,VG,3,2,122,13333.33333,291,2713333.333,10000,33.33333333
t11,f,SR,PC.AA.OD,VG,3,2,70,13333.33333,341,2713333.333,10000,33.33333333
t11,a,VG,PC.AA.OD,SR,3,2,86,13333.33333,299,2713333.333,10000,33.33333333
t11,b,VG,PC.AA.OD,SR,3,2,78,13333.33333,316,2713333.333,10000,33.33333333
t11,c,VG,PC.AA.OD,SR,3,2,50,13333.33333,591,2713333.333,10000,33.33333333
t11,d,VG,PC.AA.OD,SR,3,2,80,13333.33333,268,2713333.333,10000,33.33333333
t11,e,VG,PC.AA.OD,SR,3,2,66,13333.33333,347,2713333.333,10000,33.33333333
t11,f,VG,PC.AA.OD,SR,3,2,110,13333.33333,301,2713333.333,10000,33.33333333
t12,a,SR,PC.AA.VG,OD,3,2,4,13333.33333,305,2713333.333,10000,33.33333333
t12,b,SR,PC.AA.VG,OD,3,2,254,13333.33333,226,2713333.333,10000,33.33333333
t12,c,SR,PC.AA.VG,OD,3,2,56,13333.33333,227,2713333.333,10000,33.33333333
t12,d,SR,PC.AA.VG,OD,3,2,16,13333.33333,390,2713333.333,10000,33.33333333
t12,e,SR,PC.AA.VG,OD,3,2,44,13333.33333,234,2713333.333,10000,33.33333333
t12,f,SR,PC.AA.VG,OD,3,2,20,13333.33333,234,2713333.333,10000,33.33333333
t12,a,OD,PC.AA.VG,SR,3,2,126,13333.33333,183,2713333.333,10000,33.33333333
t12,b,OD,PC.AA.VG,SR,3,2,82,13333.33333,398,2713333.333,10000,33.33333333
t12,c,OD,PC.AA.VG,SR,3,2,110,13333.33333,223,2713333.333,10000,33.33333333
t12,d,OD,PC.AA.VG,SR,3,2,166,13333.33333,240,2713333.333,10000,33.33333333
t12,e,OD,PC.AA.VG,SR,3,2,142,13333.33333,272,2713333.333,10000,33.33333333
t12,f,OD,PC.AA.VG,SR,3,2,104,13333.33333,150,2713333.333,10000,33.33333333
t13,a,AA,PC.SR.OD,VG,3,2,2,13333.33333,616,2713333.333,10000,33.33333333
t13,b,AA,PC.SR.OD,VG,3,2,6,13333.33333,544,2713333.333,10000,33.33333333
t13,c,AA,PC.SR.OD,VG,3,2,10,13333.33333,431,2713333.333,10000,33.33333333
t13,d,AA,PC.SR.OD,VG,3,2,4,13333.33333,246,2713333.333,10000,33.33333333
t13,e,AA,PC.SR.OD,VG,3,2,42,13333.33333,506,2713333.333,10000,33.33333333
t13,f,AA,PC.SR.OD,VG,3,2,50,13333.33333,394,2713333.333,10000,33.33333333
t13,a,VG,PC.SR.OD,AA,3,2,28,13333.33333,590,2713333.333,10000,33.33333333
t13,b,VG,PC.SR.OD,AA,3,2,14,13333.33333,536,2713333.333,10000,33.33333333
t13,c,VG,PC.SR.OD,AA,3,2,164,13333.33333,277,2713333.333,10000,33.33333333
t13,d,VG,PC.SR.OD,AA,3,2,112,13333.33333,138,2713333.333,10000,33.33333333
